President,p_log_p,p_log_p_pn,Avg_Syllables
Barack Obama,-8.062256944799696,2.22044327209917,2.039631012437613
Donald J. Trump,-7.750715777193248,2.5991177018202642,1.9426613354193913
Dwight D. Eisenhower,-7.992649126167729,2.177923682976054,2.2079453701280145
Franklin D. Roosevelt,-8.047647923721653,1.9994154347308453,2.1459589834946566
George Bush,-8.108480730265754,2.2713469329793177,2.0632599540629255
George W. Bush,-7.893515116937594,2.4088220506585016,2.0122134206017486
Gerald R. Ford,-7.939101466716243,2.26626601986287,2.1285657262976647
Harry S. Truman,-7.924577282341191,2.1791042442465627,2.160402462779929
Herbert Hoover,-7.994093971983469,2.327281861816642,2.237248748027682
Jimmy Carter,-8.01537322717124,2.1535972329537842,2.142507630995497
John F. Kennedy,-7.966075865894103,2.1381713603174646,2.2069415898489275
Lyndon B. Johnson,-8.048559852439606,2.1010126265751548,2.0730123707712496
Richard Nixon,-7.976172508954468,2.1179405065292376,2.158155127923527
Ronald Reagan,-8.15021000321203,2.204244669108888,2.0810933483872973
William J. Clinton,-7.954988500692018,2.206943557507121,2.0131692354160933
